Country,Date_reported,Country_code,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Population,New_cases_pc,Cumulative_cases_pc,New_deaths_pc,Cumulative_deaths_pc
Argentina,1/27/2021,AR,AMRO,7578,1874801,207,47034,44.494502,0.000170313,0.042135565,4.65226E-06,0.001057074
Argentina,9/29/2020,AR,AMRO,8841,711325,206,15749,44.494502,0.000198699,0.015986807,4.62979E-06,0.000353954
Argentina,9/30/2020,AR,AMRO,11807,723132,364,16113,44.494502,0.000265359,0.016252165,8.18079E-06,0.000362135
Argentina,2/11/2021,AR,AMRO,7794,1993295,158,49556,44.494502,0.000175168,0.044798681,3.551E-06,0.001113756
Argentina,1/15/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,6/10/2020,AR,AMRO,826,23620,28,698,44.494502,1.85641E-05,0.000530852,6.29291E-07,1.56873E-05
Argentina,1/17/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/18/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/11/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/22/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/18/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/23/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/17/2021,AR,AMRO,12332,1783047,102,45227,44.494502,0.000277158,0.040073423,2.29242E-06,0.001016463
Argentina,9/1/2020,AR,AMRO,7187,408426,97,8498,44.494502,0.000161526,0.009179246,2.18004E-06,0.00019099
Argentina,2/7/2021,AR,AMRO,8374,1970009,285,48985,44.494502,0.000188203,0.044275335,6.40529E-06,0.001100923
Argentina,2/8/2021,AR,AMRO,6680,1976689,125,49110,44.494502,0.000150131,0.044425466,2.80934E-06,0.001103732
Argentina,1/28/2021,AR,AMRO,10409,1885210,219,47253,44.494502,0.000233939,0.042369504,4.92196E-06,0.001061996
Argentina,2/2/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/16/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/24/2021,AR,AMRO,10753,1853830,220,46575,44.494502,0.00024167,0.041664249,4.94443E-06,0.001046759
Argentina,1/25/2021,AR,AMRO,8362,1862192,162,46737,44.494502,0.000187933,0.041852182,3.6409E-06,0.001050399
Argentina,1/11/2021,AR,AMRO,11057,1714409,144,44417,44.494502,0.000248503,0.038530805,3.23635E-06,0.000998258
Argentina,10/10/2020,AR,AMRO,15454,856369,484,22710,44.494502,0.000347324,0.019246625,1.08777E-05,0.0005104
Argentina,2/17/2021,AR,AMRO,3259,2029057,91,50327,44.494502,7.3245E-05,0.045602421,2.0452E-06,0.001131084
Argentina,2/3/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/4/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,9/27/2020,AR,AMRO,12969,691235,442,15208,44.494502,0.000291474,0.01553529,9.93381E-06,0.000341795
Argentina,9/28/2020,AR,AMRO,11249,702484,335,15543,44.494502,0.000252818,0.015788108,7.52902E-06,0.000349324
Argentina,6/5/2020,AR,AMRO,949,19268,18,588,44.494502,2.13285E-05,0.000433042,4.04544E-07,1.32151E-05
Argentina,2/9/2021,AR,AMRO,3658,1980347,61,49171,44.494502,8.22124E-05,0.044507679,1.37096E-06,0.001105103
Argentina,6/7/2020,AR,AMRO,840,21037,27,642,44.494502,1.88787E-05,0.0004728,6.06817E-07,1.44287E-05
Argentina,10/1/2020,AR,AMRO,13477,736609,406,16519,44.494502,0.000302891,0.016555057,9.12472E-06,0.000371259
Argentina,6/9/2020,AR,AMRO,774,22794,14,670,44.494502,1.73954E-05,0.000512288,3.14646E-07,1.5058E-05
Argentina,12/23/2020,AR,AMRO,5853,1547138,184,41997,44.494502,0.000131544,0.034771442,4.13534E-06,0.000943869
Argentina,6/11/2020,AR,AMRO,1141,24761,19,717,44.494502,2.56436E-05,0.000556496,4.27019E-07,1.61144E-05
Argentina,2/29/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/12/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/5/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,8/30/2020,AR,AMRO,11717,392009,176,8305,44.494502,0.000263336,0.00881028,3.95554E-06,0.000186652
Argentina,8/31/2020,AR,AMRO,9230,401239,96,8401,44.494502,0.000207441,0.009017721,2.15757E-06,0.00018881
Argentina,10/11/2020,AR,AMRO,15099,871468,515,23225,44.494502,0.000339345,0.01958597,1.15745E-05,0.000521975
Argentina,1/8/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,6/4/2020,AR,AMRO,904,18319,10,570,44.494502,2.03171E-05,0.000411714,2.24747E-07,1.28106E-05
Argentina,1/12/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,6/24/2020,AR,AMRO,2146,44931,33,1049,44.494502,4.82307E-05,0.00100981,7.41665E-07,2.35759E-05
Argentina,6/25/2020,AR,AMRO,2285,47216,36,1085,44.494502,5.13547E-05,0.001061165,8.09089E-07,2.4385E-05
Argentina,6/26/2020,AR,AMRO,2635,49851,39,1124,44.494502,5.92208E-05,0.001120386,8.76513E-07,2.52615E-05
Argentina,2/13/2021,AR,AMRO,7311,2008345,200,49874,44.494502,0.000164312,0.045136925,4.49494E-06,0.001120903
Argentina,6/12/2020,AR,AMRO,1226,25987,24,741,44.494502,2.7554E-05,0.00058405,5.39392E-07,1.66537E-05
Argentina,1/12/2021,AR,AMRO,7808,1722217,78,44495,44.494502,0.000175482,0.038706288,1.75303E-06,0.001000011
Argentina,1/13/2021,AR,AMRO,8704,1730921,159,44654,44.494502,0.00019562,0.038901907,3.57348E-06,0.001003585
Argentina,1/14/2021,AR,AMRO,13783,1744704,194,44848,44.494502,0.000309769,0.039211676,4.36009E-06,0.001007945
Argentina,1/15/2021,AR,AMRO,12725,1757429,135,44983,44.494502,0.00028599,0.039497666,3.03408E-06,0.001010979
Argentina,1/18/2021,AR,AMRO,8932,1791979,68,45295,44.494502,0.000200744,0.040274167,1.52828E-06,0.001017991
Argentina,1/30/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/9/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/1/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/31/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/21/2021,AR,AMRO,12141,1819569,234,46066,44.494502,0.000272865,0.040894244,5.25908E-06,0.001035319
Argentina,1/22/2021,AR,AMRO,12112,1831681,150,46216,44.494502,0.000272213,0.041166457,3.3712E-06,0.00103869
Argentina,9/22/2020,AR,AMRO,8431,631365,144,13053,44.494502,0.000189484,0.014189731,3.23635E-06,0.000293362
Argentina,2/26/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,9/24/2020,AR,AMRO,12027,652174,470,13952,44.494502,0.000270303,0.014657406,1.05631E-05,0.000313567
Argentina,9/25/2020,AR,AMRO,12625,664799,424,14376,44.494502,0.000283743,0.014941149,9.52927E-06,0.000323096
Argentina,5/30/2020,AR,AMRO,769,14702,9,510,44.494502,1.7283E-05,0.000330423,2.02272E-07,1.14621E-05
Argentina,9/26/2020,AR,AMRO,13467,678266,390,14766,44.494502,0.000302667,0.015243816,8.76513E-06,0.000331861
Argentina,5/31/2020,AR,AMRO,0,14702,0,510,44.494502,0,0.000330423,0,1.14621E-05
Argentina,6/1/2020,AR,AMRO,1512,16214,20,530,44.494502,3.39817E-05,0.000364405,4.49494E-07,1.19116E-05
Argentina,11/9/2020,AR,AMRO,8037,1236851,212,33348,44.494502,0.000180629,0.027797839,4.76463E-06,0.000749486
Argentina,12/19/2020,AR,AMRO,7326,1524372,169,41534,44.494502,0.00016465,0.034259783,3.79822E-06,0.000933464
Argentina,12/20/2020,AR,AMRO,7002,1531374,138,41672,44.494502,0.000157368,0.034417151,3.10151E-06,0.000936565
Argentina,12/21/2020,AR,AMRO,5795,1537169,91,41763,44.494502,0.000130241,0.034547392,2.0452E-06,0.00093861
Argentina,12/22/2020,AR,AMRO,4116,1541285,50,41813,44.494502,9.25058E-05,0.034639898,1.12373E-06,0.000939734
Argentina,11/13/2020,AR,AMRO,10880,1273356,348,34531,44.494502,0.000244525,0.028618277,7.82119E-06,0.000776073
Argentina,8/26/2020,AR,AMRO,8713,350867,323,7402,44.494502,0.000195822,0.007885626,7.25932E-06,0.000166358
Argentina,8/27/2020,AR,AMRO,8771,359638,259,7661,44.494502,0.000197125,0.008082751,5.82094E-06,0.000172179
Argentina,6/13/2020,AR,AMRO,1386,27373,31,772,44.494502,3.11499E-05,0.0006152,6.96715E-07,1.73505E-05
Argentina,2/13/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/2/2021,AR,AMRO,4975,1927239,43,47974,44.494502,0.000111812,0.043314093,9.66412E-07,0.001078201
Argentina,2/3/2021,AR,AMRO,6614,1933853,275,48249,44.494502,0.000148648,0.043462741,6.18054E-06,0.001084381
Argentina,12/29/2020,AR,AMRO,5660,1583927,149,42650,44.494502,0.000127207,0.035598263,3.34873E-06,0.000958545
Argentina,6/19/2020,AR,AMRO,1393,35552,43,929,44.494502,3.13072E-05,0.00079902,9.66412E-07,2.0879E-05
Argentina,6/20/2020,AR,AMRO,1958,37510,25,954,44.494502,4.40054E-05,0.000843026,5.61867E-07,2.14409E-05
Argentina,6/21/2020,AR,AMRO,2060,39570,25,979,44.494502,4.62979E-05,0.000889323,5.61867E-07,2.20027E-05
Argentina,1/6/2021,AR,AMRO,8222,1648940,152,43634,44.494502,0.000184787,0.03705941,3.41615E-06,0.00098066
Argentina,1/7/2021,AR,AMRO,13790,1662730,151,43785,44.494502,0.000309926,0.037369336,3.39368E-06,0.000984054
Argentina,1/8/2021,AR,AMRO,13441,1676171,191,43976,44.494502,0.000302082,0.037671418,4.29267E-06,0.000988347
Argentina,1/9/2021,AR,AMRO,13835,1690006,146,44122,44.494502,0.000310937,0.037982356,3.2813E-06,0.000991628
Argentina,1/10/2021,AR,AMRO,13346,1703352,151,44273,44.494502,0.000299947,0.038282303,3.39368E-06,0.000995022
Argentina,2/27/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/28/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,7/1/2020,AR,AMRO,2335,62268,38,1283,44.494502,5.24784E-05,0.001399454,8.54038E-07,2.8835E-05
Argentina,3/1/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/16/2021,AR,AMRO,13286,1770715,142,45125,44.494502,0.000298599,0.039796265,3.19141E-06,0.00101417
Argentina,9/15/2020,AR,AMRO,9056,555537,105,11412,44.494502,0.000203531,0.01248552,2.35984E-06,0.000256481
Argentina,1/19/2021,AR,AMRO,7264,1799243,112,45407,44.494502,0.000163256,0.040437423,2.51716E-06,0.001020508
Argentina,1/20/2021,AR,AMRO,8185,1807428,425,45832,44.494502,0.000183955,0.040621378,9.55174E-06,0.00103006
Argentina,9/17/2020,AR,AMRO,11892,577338,200,11910,44.494502,0.000267269,0.012975491,4.49494E-06,0.000267674
Argentina,9/18/2020,AR,AMRO,11674,589012,319,12229,44.494502,0.000262369,0.01323786,7.16943E-06,0.000274843
Argentina,9/19/2020,AR,AMRO,12701,601713,262,12491,44.494502,0.000285451,0.013523311,5.88837E-06,0.000280731
Argentina,1/23/2021,AR,AMRO,11396,1843077,139,46355,44.494502,0.000256122,0.041422578,3.12398E-06,0.001041814
Argentina,9/23/2020,AR,AMRO,8782,640147,429,13482,44.494502,0.000197373,0.014387103,9.64164E-06,0.000303004
Argentina,5/28/2020,AR,AMRO,600,13228,21,492,44.494502,1.34848E-05,0.000297295,4.71968E-07,1.10575E-05
Argentina,5/29/2020,AR,AMRO,705,13933,9,501,44.494502,1.58447E-05,0.00031314,2.02272E-07,1.12598E-05
Argentina,3/10/2020,AR,AMRO,0,16,0,1,44.494502,0,3.59595E-07,0,2.24747E-08
