"Country","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc"
"Belgium","11/28/2020","BE","EURO",2741,576432,125,16502,11.40374,0.00024036,0.050547627,1.09613e-05,0.001447069
"Brazil","1/28/2020","BR","AMRO",0,0,0,0,208.4949,0,0,0,0
"Brazil","5/28/2020","BR","AMRO",16324,391222,1039,24512,208.4949,7.82945e-05,0.00187641,4.98334e-06,0.000117566
"Brazil","1/28/2021","BR","AMRO",61963,8933356,1214,218878,208.4949,0.000297192,0.04284688,5.82268e-06,0.0010498
"Brazil","12/28/2020","BR","AMRO",17246,7465806,307,190795,208.4949,8.27167e-05,0.035808099,1.47246e-06,0.000915106
"Brazil","8/28/2020","BR","AMRO",47161,3717156,1085,117665,208.4949,0.000226197,0.017828522,5.20396e-06,0.000564354
"Brazil","2/28/2020","BR","AMRO",0,5,0,0,208.4949,0,2.39814e-08,0,0
"Brazil","10/28/2020","BR","AMRO",15726,5409854,263,157397,208.4949,7.54263e-05,0.025947177,1.26142e-06,0.00075492
"Brazil","6/28/2020","BR","AMRO",46860,1274974,990,55961,208.4949,0.000224754,0.006115133,4.74832e-06,0.000268405
"Brazil","9/28/2020","BR","AMRO",28378,4717991,869,141406,208.4949,0.000136109,0.022628808,4.16797e-06,0.000678223
"Brazil","3/28/2020","BR","AMRO",482,2915,20,77,208.4949,2.31181e-06,1.39812e-05,9.59256e-08,3.69314e-07
"Brazil","11/28/2020","BR","AMRO",37614,6204220,691,171460,208.4949,0.000180407,0.029757179,3.31423e-06,0.00082237
"Brazil","7/28/2020","BR","AMRO",24578,2419091,555,87004,208.4949,0.000117883,0.011602639,2.66194e-06,0.000417296
"Brazil","4/28/2020","BR","AMRO",3379,61888,189,4205,208.4949,1.62066e-05,0.000296832,9.06497e-07,2.01684e-05
"Bulgaria","8/28/2020","BG","EURO",157,15908,8,594,7.025037,2.23486e-05,0.002264472,1.13878e-06,8.45547e-05
"Bulgaria","12/28/2020","BG","EURO",332,197716,41,7164,7.025037,4.72595e-05,0.028144478,5.83627e-06,0.001019781
"Bulgaria","4/28/2020","BG","EURO",63,1363,2,58,7.025037,8.96792e-06,0.00019402,2.84696e-07,8.25618e-06
