"","Country","Date_reported","Ave_NewCase","Ave_NewDeath","CasePercent_Change.x","DeathPercent_Change.x","Cumul_Case","Cumul_Death","CasePercent_Change.y","DeathPercent_Change.y","X","Quarter","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc","GDP","X.GDP..QTR.","X.GDP..TOTAL.","Unemployment","X.unem..QTR.","X.unem..TOTAL."
"23","Colombia","4/3/2020",1000.73626373626,34.021978021978,0.884426888809159,0.815653337768892,91067,3096,0.885683118278625,0.817657105836622,6,"Q1.2020","COL","HUR","TOT","PC_LF","M","2020-04",20.13249,NA,"CO","AMRO",159,1065,1,17,49.83424,3.19e-06,2.14e-05,2.01e-08,3.41e-07,"677,975",-2.378521584,NA,20.13249,0.899922427,NA
"24","Colombia","7/3/2020",7896.02173913043,244.945652173913,6.89021246182338,6.19962995730817,726434,22535,6.97691809327199,6.27874677002584,41,"Q2.2020","COL","HUR","TOT","PC_LF","M","2020-07",19.43816,NA,"CO","AMRO",4163,102009,136,3470,49.83424,8.35e-05,0.002046966,2.73e-06,6.96e-05,"577,711",-14.78868273,NA,19.43816,-0.034488034,NA
"25","Czechia","1/3/2020",33.7303370786517,0.269662921348315,NA,NA,3002,24,NA,NA,112,"Q4.2019","CZE","HUR","TOT","PC_LF","M","2020-01",2,NA,"CZ","EURO",0,0,0,0,10.62643,0,0,0,0,"409,939",0.383759893,NA,2,0,NA
"26","Czechia","10/3/2020",7074.10869565217,118.95652173913,208.725407699215,440.130434782609,650818,10944,215.794803464357,455,77,"Q3.2020","CZE","HUR","TOT","PC_LF","M","2020-10",2.8,NA,"CZ","EURO",3796,78051,21,699,10.62643,0.000357223,0.007344988,1.98e-06,6.58e-05,"387,876",6.9385772,-0.053820203,2.8,0.037037037,0.285714286
"27","Czechia","4/3/2020",96.7362637362637,3.56043956043956,0.986325307130816,0.970069404279931,8803,324,0.986473945096786,0.970394736842105,7,"Q1.2020","CZE","HUR","TOT","PC_LF","M","2020-04",2.2,NA,"CZ","EURO",269,3858,5,44,10.62643,2.53e-05,0.000363057,4.71e-07,4.14e-06,"396,444",-3.291986784,NA,2.2,0.1,NA
"28","Czechia","7/3/2020",609.108695652174,3.1304347826087,5.29659108307938,0.120772946859903,56038,288,5.36578439168465,0.111111111111111,42,"Q2.2020","CZE","HUR","TOT","PC_LF","M","2020-07",2.7,NA,"CZ","EURO",132,12178,2,351,10.62643,1.24e-05,0.00114601,1.88e-07,3.3e-05,"362,709",-8.50949507,NA,2.7,0.227272727,NA
"29","Denmark","1/3/2020",28.9550561797753,0.865168539325843,NA,NA,2577,77,NA,NA,113,"Q4.2019","DNK","HUR","TOT","PC_LF","M","2020-01",5,NA,"DK","EURO",0,0,0,0,5.789957,0,0,0,0,"312,605",0.087246128,NA,5,-0.04,NA
"30","Denmark","10/3/2020",1453.97826086957,6.58695652173913,49.2150039648395,6.61349520045172,133766,606,50.9076445479239,6.87012987012987,78,"Q3.2020","DNK","HUR","TOT","PC_LF","M","2020-10",5.9,NA,"DK","EURO",536,28932,1,652,5.789957,9.26e-05,0.004996928,1.73e-07,0.000112609,"301,042",5.198222299,-0.036989172,5.9,-0.063492063,0.152542373
"31","Denmark","4/3/2020",111.802197802198,5.8021978021978,0.923106004531778,0.119138287455119,10174,528,0.923941808830345,0.128712871287129,8,"Q1.2020","DNK","HUR","TOT","PC_LF","M","2020-04",4.9,NA,"DK","EURO",279,3386,19,123,5.789957,4.82e-05,0.000584806,3.28e-06,2.12e-05,"307,870",-1.331010768,NA,4.9,-0.02,NA
"32","Denmark","7/3/2020",159.923913043478,0.489130434782609,0.430418329757865,0.915699110671937,14713,45,0.446137212502457,0.914772727272727,43,"Q2.2020","DNK","HUR","TOT","PC_LF","M","2020-07",6.3,NA,"DK","EURO",21,12815,0,606,5.789957,3.63e-06,0.002213315,0,0.000104664,"286,100",-6.769371899,NA,6.3,0.285714286,NA
"33","Estonia","1/3/2020",8.03370786516854,0.0337078651685393,NA,NA,715,3,NA,NA,114,"Q4.2019","EST","HUR","TOT","PC_LF","M","2020-01",4.7,NA,"EE","EURO",0,0,0,0,1.321977,0,0,0,0,"46,243",0.484044841,NA,4.7,0.127659574,NA
"34","Estonia","10/3/2020",268.20652173913,1.79347826086957,32.3851474612344,52.2065217391304,24675,165,33.5104895104895,54,79,"Q3.2020","EST","HUR","TOT","PC_LF","M","2020-10",8.1,NA,"EE","EURO",57,3507,1,66,1.321977,4.31e-05,0.002652845,7.56e-07,4.99e-05,"44,756",3.255995705,-0.032156218,8.1,0.038461538,0.419753086
"35","Estonia","4/3/2020",13.978021978022,0.659340659340659,0.94788336283777,0.632367632367632,1272,60,0.948449848024316,0.636363636363636,9,"Q1.2020","EST","HUR","TOT","PC_LF","M","2020-04",6,NA,"EE","EURO",79,858,6,11,1.321977,5.98e-05,0.000649028,4.54e-06,8.32e-06,"45,864",-0.820471658,NA,6,0.276595745,NA
"36","Estonia","7/3/2020",14.4347826086957,0.0108695652173913,0.0326770576975663,0.983514492753623,1328,1,0.0440251572327044,0.983333333333333,44,"Q2.2020","EST","HUR","TOT","PC_LF","M","2020-07",7.8,NA,"EE","EURO",1,1990,0,63,1.321977,7.56e-07,0.001505321,0,4.77e-05,"43,344",-5.493447446,NA,7.8,0.3,NA
"37","Finland","1/3/2020",14.752808988764,0.146067415730337,NA,NA,1313,13,NA,NA,115,"Q4.2019","FIN","HUR","TOT","PC_LF","M","2020-01",6.9,NA,"FI","EURO",0,0,0,0,5.515525,0,0,0,0,"252,718",-0.65725697,NA,6.9,0,NA
"38","Finland","10/3/2020",282.239130434783,2.31521739130435,18.1312129540713,14.8503344481605,25966,213,18.7760853008378,15.3846153846154,80,"Q3.2020","FIN","HUR","TOT","PC_LF","M","2020-10",8.2,NA,"FI","EURO",101,10204,1,345,5.515525,1.83e-05,0.001850051,1.81e-07,6.26e-05,"246,765",3.154509092,-0.0235559,8.2,-0.046511628,0.158536585
"39","Finland","4/3/2020",64.7912087912088,3.46153846153846,0.770438603990171,0.495124593716143,5896,315,0.772933836555496,0.47887323943662,10,"Q1.2020","FIN","HUR","TOT","PC_LF","M","2020-04",7.3,NA,"FI","EURO",72,1518,2,19,5.515525,1.31e-05,0.000275223,3.63e-07,3.44e-06,"248,866",-1.524229591,NA,7.3,0.057971014,NA
"40","Finland","7/3/2020",29.1630434782609,0.16304347826087,0.549891968025485,0.952898550724638,2683,15,0.544945725915875,0.952380952380952,45,"Q2.2020","FIN","HUR","TOT","PC_LF","M","2020-07",8.6,NA,"FI","EURO",5,7241,0,328,5.515525,9.07e-07,0.00131284,0,5.95e-05,"239,219",-3.876491339,NA,8.6,0.178082192,NA
"41","France","1/3/2020",494.123595505618,33.8988764044944,NA,NA,43977,3017,NA,NA,116,"Q4.2019","FRA","HUR","TOT","PC_LF","M","2020-01",7.7,NA,"FR","EURO",0,0,0,0,66.941698,0,0,0,0,"2,906,402",-0.198585508,NA,7.7,-0.077922078,NA
"42","France","10/3/2020",22068.5108695652,351.239130434783,43.6619248104988,9.36137971783084,2030303,32314,45.1673829501785,9.71063970831952,81,"Q3.2020","FRA","HUR","TOT","PC_LF","M","2020-10",8.6,NA,"FR","EURO",11543,563796,118,31926,66.941698,0.000172434,0.008422194,1.76e-06,0.000476922,"2,798,512",18.4555934,-0.037121499,8.6,-0.085106383,0.104651163
"43","France","4/3/2020",1240.76923076923,293.549450549451,0.943776485957628,0.164246164184271,112910,26713,0.944387611110263,0.173330445008356,11,"Q1.2020","FRA","HUR","TOT","PC_LF","M","2020-04",7.3,NA,"FR","EURO",2066,58327,471,4490,66.941698,3.09e-05,0.00087131,7.04e-06,6.71e-05,"2,734,755",-5.86459332,NA,7.3,-0.051948052,NA
"44","France","7/3/2020",4016.5,21.304347826087,2.23710477371358,0.927425012084981,369518,1960,2.2726773536445,0.926627484745255,46,"Q2.2020","FRA","HUR","TOT","PC_LF","M","2020-07",9.4,NA,"FR","EURO",480,158286,14,29791,66.941698,7.17e-06,0.002364535,2.09e-07,0.000445029,"2,361,420",-13.50198395,NA,9.4,0.287671233,NA
"45","Germany","1/3/2020",695.651685393258,6.55056179775281,NA,NA,61913,583,NA,NA,117,"Q4.2019","DEU","HUR","TOT","PC_LF","M","2020-01",3.4,NA,"DE","EURO",0,0,0,0,82.914191,0,0,0,0,"4,161,415",-0.018690252,NA,3.4,0.088235294,NA
"46","Germany","10/3/2020",15549.1086956522,256.336956521739,21.3518594465305,38.1320568275039,1430518,23583,22.1052929110203,39.451114922813,82,"Q3.2020","DEU","HUR","TOT","PC_LF","M","2020-10",4.5,NA,"DE","EURO",2563,296958,19,9527,82.914191,3.09e-05,0.00358151,2.29e-07,0.000114902,"3,995,933",8.511985604,-0.039765801,4.5,0.022727273,0.244444444
"47","Germany","4/3/2020",1454.35164835165,92.1978021978022,0.906467201637203,0.640325751507535,132346,8390,0.907483862488973,0.64423525420854,12,"Q1.2020","DEU","HUR","TOT","PC_LF","M","2020-04",4,NA,"DE","EURO",6174,79696,145,1017,82.914191,7.45e-05,0.000961186,1.75e-06,1.23e-05,"4,078,379",-1.995362523,NA,4,0.176470588,NA
"48","Germany","7/3/2020",1032.17391304348,5.59782608695652,0.290285871224242,0.939284603824429,94960,515,0.282486814864068,0.938617401668653,47,"Q2.2020","DEU","HUR","TOT","PC_LF","M","2020-07",4.4,NA,"DE","EURO",446,195674,9,9003,82.914191,5.38e-06,0.002359958,1.09e-07,0.000108582,"3,682,481",-9.707251417,NA,4.4,0.1,NA
"49","Greece","1/3/2020",13.6179775280899,0.48314606741573,NA,NA,1212,43,NA,NA,118,"Q4.2019","GRC","HUR","TOT","PC_LF","M","2020-01",16.4,NA,"GR","EURO",0,0,0,0,10.725886,0,0,0,0,"300,964",0.473879523,NA,16.4,-0.018292683,NA
"50","Greece","10/3/2020",1302.11956521739,47.8260869565217,94.6176908451715,97.9888776541962,119795,4400,97.8407590759076,101.325581395349,83,"Q3.2020","GRC","HUR","TOT","PC_LF","M","2020-10",16.7,NA,"GR","EURO",460,19346,5,398,10.725886,4.29e-05,0.001803674,4.66e-07,3.71e-05,"264,644",2.290037872,-0.120678885,16.7,0,0.017964072
"51","Greece","4/3/2020",23.9340659340659,1.62637362637363,0.9816191488298,0.965994005994006,2178,148,0.981818940690346,0.966363636363636,13,"Q1.2020","GRC","HUR","TOT","PC_LF","M","2020-04",16.2,NA,"GR","EURO",139,1514,3,53,10.725886,1.3e-05,0.000141154,2.8e-07,4.94e-06,"301,354",0.129790373,NA,16.2,-0.012195122,NA
"52","Greece","7/3/2020",160.141304347826,2.14130434782609,5.69093604024434,0.316612808460635,14733,197,5.76446280991736,0.331081081081081,48,"Q2.2020","GRC","HUR","TOT","PC_LF","M","2020-07",16.7,NA,"GR","EURO",26,3458,0,192,10.725886,2.42e-06,0.000322398,0,1.79e-05,"258,719",-14.14776204,NA,16.7,0.030864198,NA
"53","Hungary","1/3/2020",5.52808988764045,0.179775280898876,NA,NA,492,16,NA,NA,119,"Q4.2019","HUN","HUR","TOT","PC_LF","M","2020-01",3.4,NA,"HU","EURO",0,0,0,0,9.7676,0,0,0,0,"313,378",0.634506772,NA,3.4,-0.058823529,NA
"54","Hungary","10/3/2020",3217.96739130435,95.3478260869565,581.111987451396,529.372282608696,296053,8772,600.733739837398,547.25,84,"Q3.2020","HUN","HUR","TOT","PC_LF","M","2020-10",4.5,NA,"HU","EURO",1086,29717,14,812,9.7676,0.000111184,0.003042406,1.43e-06,8.31e-05,"297,105",11.38472413,-0.051927704,4.5,-0.02173913,0.244444444
"55","Hungary","4/3/2020",40.1428571428571,6.25274725274725,0.987525399650931,0.934421711439495,3653,569,0.987660993132986,0.935134518923849,14,"Q1.2020","HUN","HUR","TOT","PC_LF","M","2020-04",4.1,NA,"HU","EURO",38,623,5,26,9.7676,3.89e-06,6.38e-05,5.12e-07,2.66e-06,"312,275",-0.351820843,NA,4.1,0.205882353,NA
"56","Hungary","7/3/2020",242.565217391304,1.95652173913043,5.04254989942751,0.687094062810423,22316,180,5.10895154667397,0.683655536028119,49,"Q2.2020","HUN","HUR","TOT","PC_LF","M","2020-07",4.6,NA,"HU","EURO",9,4166,1,587,9.7676,9.21e-07,0.000426512,1.02e-07,6.01e-05,"266,738",-14.5825665,NA,4.6,0.12195122,NA
"57","Iceland","1/3/2020",12.2022471910112,0.0224719101123595,NA,NA,1086,2,NA,NA,120,"Q4.2019","ISL","HUR","TOT","PC_LF","M","2020-01",4.1,NA,"IS","EURO",0,0,0,0,0.352722,0,0,0,0,"19,821",6.211608107,NA,4.1,0.073170732,NA
"58","Iceland","10/3/2020",33.25,0.206521739130435,1.72490791896869,8.19021739130435,3059,19,1.81675874769797,8.5,85,"Q3.2020","ISL","HUR","TOT","PC_LF","M","2020-10",5.9,NA,"IS","EURO",40,2809,0,10,0.352722,0.000113404,0.007963779,0,2.84e-05,"17,414",2.58498745,-0.12143686,5.9,0.113207547,0.305084746
"59","Iceland","4/3/2020",8.08791208791209,0.0879120879120879,0.756754523671817,0.57432041642568,736,8,0.759398496240602,0.578947368421053,15,"Q1.2020","ISL","HUR","TOT","PC_LF","M","2020-04",4.8,NA,"IS","EURO",99,1319,2,4,0.352722,0.000280674,0.003739489,5.67e-06,1.13e-05,"18,315",-7.600387833,NA,4.8,0.170731707,NA
"60","Iceland","7/3/2020",9.48913043478261,0,0.173248464083176,1,873,0,0.186141304347826,1,50,"Q2.2020","ISL","HUR","TOT","PC_LF","M","2020-07",5.3,NA,"IS","EURO",5,1830,0,10,0.352722,1.42e-05,0.005188222,0,2.84e-05,"16,975",-7.314675727,NA,5.3,0.104166667,NA
"61","Ireland","1/3/2020",32.6966292134831,0.606741573033708,NA,NA,2910,54,NA,NA,121,"Q4.2019","IRL","HUR","TOT","PC_LF","M","2020-01",4.9,NA,"IE","EURO",0,0,0,0,4.857015,0,0,0,0,"433,142",4.265485715,NA,4.9,0.06122449,NA
"62","Ireland","10/3/2020",591.489130434783,4.59782608695652,17.0902173913043,6.57789855072464,54417,423,17.7,6.83333333333333,86,"Q3.2020","IRL","HUR","TOT","PC_LF","M","2020-10",7.1,NA,"IE","EURO",466,37063,-5,1801,4.857015,9.59e-05,0.007630819,-1.03e-06,0.000370804,"449,200",11.05322944,0.037073292,7.1,0.14516129,0.309859155
"63","Ireland","4/3/2020",247.824175824176,18.4725274725275,0.581016517341563,3.01766554958044,22552,1681,0.585570685631328,2.97399527186761,16,"Q1.2020","IRL","HUR","TOT","PC_LF","M","2020-04",4.7,NA,"IE","EURO",402,3849,13,98,4.857015,8.28e-05,0.000792462,2.68e-06,2.02e-05,"417,865",-3.527067979,NA,4.7,-0.040816327,NA
"64","Ireland","7/3/2020",111.717391304348,0.739130434782609,0.54920704998689,0.959987585029615,10278,68,0.544253281305427,0.959547888161808,51,"Q2.2020","IRL","HUR","TOT","PC_LF","M","2020-07",6.2,NA,"IE","EURO",12,25489,0,1738,4.857015,2.47e-06,0.005247873,0,0.000357833,"404,491",-3.200561874,NA,6.2,0.319148936,NA
"65","Israel","1/3/2020",49.9101123595506,0.179775280898876,NA,NA,4442,16,NA,NA,122,"Q4.2019","ISR","HUR","TOT","PC_LF","M","2020-01",3.644195,NA,"IL","EURO",0,0,0,0,8.872943,0,0,0,0,"347,072",1.141136673,NA,3.644195,0.024309072,NA
"66","Israel","10/3/2020",1963.72826086957,19.3695652173913,38.3452983379989,106.743206521739,180663,1782,39.6715443493922,110.375,87,"Q3.2020","ISR","HUR","TOT","PC_LF","M","2020-10",4.688548,NA,"IL","EURO",7730,255149,46,1651,8.872943,0.000871188,0.028755848,5.18e-06,0.000186071,"340,401",9.068624087,-0.019220796,4.688548,0.005769413,0.222745507
"67","Israel","4/3/2020",213.912087912088,3.40659340659341,0.891068386510176,0.824126490793157,19466,310,0.892252425787239,0.826038159371493,17,"Q1.2020","ISR","HUR","TOT","PC_LF","M","2020-04",3.670104,NA,"IL","EURO",696,6421,8,29,8.872943,7.84e-05,0.000723661,9.02e-07,3.27e-06,"341,032",-1.740358281,NA,3.670104,0.007109663,NA
"68","Israel","7/3/2020",2276.55434782609,13.1195652173913,9.64247640255697,2.85122720897616,209443,1207,9.75942669269496,2.89354838709677,52,"Q2.2020","ISR","HUR","TOT","PC_LF","M","2020-07",4.661653,NA,"IL","EURO",972,26421,3,330,8.872943,0.000109547,0.002977704,3.38e-07,3.72e-05,"312,098",-8.48422744,NA,4.661653,0.270169183,NA
"69","Italy","1/3/2020",1143.13483146067,130.23595505618,NA,NA,101739,11591,NA,NA,123,"Q4.2019","ITA","HUR","TOT","PC_LF","M","2020-01",9.6,NA,"IT","EURO",0,0,0,0,60.421797,0,0,0,0,"2,332,359",-0.361449601,NA,9.6,0.020833333,NA
"70","Italy","10/3/2020",19246.5,410.097826086957,15.8365965853802,2.14888331651619,1770678,37729,16.4041223129773,2.25502545078078,88,"Q3.2020","ITA","HUR","TOT","PC_LF","M","2020-10",9.5,NA,"IT","EURO",2499,319908,23,35941,60.421797,4.14e-05,0.005294579,3.81e-07,0.000594835,"2,221,904",15.96637729,-0.047357632,9.5,-0.020618557,-0.010526316
"71","Italy","4/3/2020",1524.14285714286,254.428571428571,0.920809349380778,0.379590538539888,138697,23153,0.921670117322291,0.386334119642715,18,"Q1.2020","ITA","HUR","TOT","PC_LF","M","2020-04",7.4,NA,"IT","EURO",4668,115242,760,13917,60.421797,7.73e-05,0.001907292,1.26e-05,0.000230331,"2,203,389",-5.529588976,NA,7.4,-0.229166667,NA
"72","Italy","7/3/2020",788.858695652174,12.2934782608696,0.48242470057501,0.951682005712472,72575,1131,0.476737059921988,0.95115103874228,53,"Q2.2020","ITA","HUR","TOT","PC_LF","M","2020-07",9.7,NA,"IT","EURO",201,240961,30,34818,60.421797,3.33e-06,0.003987981,4.97e-07,0.000576249,"1,915,990",-13.04351139,NA,9.7,0.310810811,NA
"73","Japan","1/3/2020",21.9438202247191,0.629213483146067,NA,NA,1953,56,NA,NA,124,"Q4.2019","JPN","HUR","TOT","PC_LF","M","2020-01",2.4,NA,"JP","WPRO",0,0,0,0,126.44318,0,0,0,0,"5,303,314",-1.836884,NA,2.4,0,NA
"74","Japan","10/3/2020",1601.02173913043,20.1086956521739,71.9600280504909,30.9584627329193,147294,1850,74.4193548387097,32.0357142857143,89,"Q3.2020","JPN","HUR","TOT","PC_LF","M","2020-10",3.1,NA,"JP","WPRO",553,84768,12,1590,126.44318,4.37e-06,0.000670404,9.49e-08,1.26e-05,"5,089,803",5.256478819,-0.04025992,3.1,0.068965517,0.225806452
